Incident.Date,State,CityCounty,Address,Killed,Injured
15-Apr-18,North Carolina,Elizabeth City,1600 Halstead Blvd,0,0
15-Apr-18,North Carolina,Salisbury,2308 Airport Rd,0,0
14-Apr-18,North Carolina,Cameron,HM Cagle Dr,0,1
14-Apr-18,North Carolina,Fayetteville,1800 block of Roxie Ave,0,0
14-Apr-18,North Carolina,Elizabeth City,600 Block of Crooked Run Rd,0,1
14-Apr-18,North Carolina,Swansboro (Cape Carteret),NC 24,0,0
14-Apr-18,North Carolina,Lumberton,Roberts Ave,1,0
14-Apr-18,North Carolina,Wilmington,1100 block of Stewart Cir,0,1
13-Apr-18,North Carolina,Asheville,32 Banks Ave,0,1
13-Apr-18,North Carolina,Charlotte,1000 block of McAlway Rd,0,0
13-Apr-18,North Carolina,Asheville,20 Melton Dr,0,1
13-Apr-18,North Carolina,Burlington,1000 Block of Tarleton Ave,1,0
12-Apr-18,North Carolina,Charlotte,6500 block of Covecreek Drive,0,2
12-Apr-18,North Carolina,Pinehurst,N/A,0,0
12-Apr-18,North Carolina,Charlotte,9400 S Tryon St,0,0
12-Apr-18,North Carolina,Sanford,309 W Makepeace St,1,0
11-Apr-18,North Carolina,Sparta,40 Alleghany St,1,0
11-Apr-18,North Carolina,High Point,Henley St and Davis Ave,0,1
11-Apr-18,North Carolina,Salisbury,800 Block of Ivy St,0,1
11-Apr-18,North Carolina,Hollister,Mills Rd,1,0
11-Apr-18,North Carolina,Asheville,1 Lodge St,0,0
11-Apr-18,North Carolina,Robersonville,East Railroad Street,1,1
11-Apr-18,North Carolina,Greenville,400 block of Ford St,0,0
11-Apr-18,North Carolina,Marion,182 Lonon Ave,3,0
11-Apr-18,North Carolina,Greensboro,500 block of Yanceyville St,0,1
11-Apr-18,North Carolina,Hickory,200 block of 10th Ave SE,0,0
11-Apr-18,North Carolina,Charlotte,Alice St,0,2
11-Apr-18,North Carolina,Salisbury,701 W Monroe St,0,0
11-Apr-18,North Carolina,Burlington,2400 Block of Lacy St,1,1
11-Apr-18,North Carolina,Winston Salem (Winston-salem),Martin Luther King Jr Dr and Waughtown St,0,1
10-Apr-18,North Carolina,Snow Hill,1043 Davis Grove Church Rd,2,0
10-Apr-18,North Carolina,Raleigh,1200 block of Savannah Dr,1,1
10-Apr-18,North Carolina,Winston Salem (Winston-salem),I-85,0,0
10-Apr-18,North Carolina,Raleigh,4200 block of Capital Blvd,0,0
10-Apr-18,North Carolina,Greenville,409 Elizabeth St,0,0
10-Apr-18,North Carolina,Grover,200 block of Darth Maul Dr,0,1
9-Apr-18,North Carolina,Garysburg,874 Lebanon Church Rd,0,0
9-Apr-18,North Carolina,Winston Salem (Winston-salem),Echo Glen Dr,1,0
9-Apr-18,North Carolina,Asheboro,218 Emmanuel Church Rd,0,0
9-Apr-18,North Carolina,Charlotte,4301 Sandy Porter Rd,0,0
9-Apr-18,North Carolina,Charlotte,100 block of Fordham Rd,0,2
9-Apr-18,North Carolina,Charlotte,7100 Snow Ln,0,1
9-Apr-18,North Carolina,High Point,1220 Turtle Rock Way,1,0
8-Apr-18,North Carolina,Knightdale,107 S 1st Ave,0,1
8-Apr-18,North Carolina,Fayetteville,Cliffdale Rd and Reilly Rd,1,0
8-Apr-18,North Carolina,Southern Pines,S Gaines St,1,0
8-Apr-18,North Carolina,Burlington,1365 N Church St,1,0
8-Apr-18,North Carolina,Hickory,247 1st Ave NW,1,3
8-Apr-18,North Carolina,Statesville,Culpepper Rd,0,0
8-Apr-18,North Carolina,Charlotte,900 block of Lynn Street,0,1
8-Apr-18,North Carolina,Roanoke Rapids,100 block of Collins Ave,0,1
8-Apr-18,North Carolina,Forest City,Chase High Rd,1,0
7-Apr-18,North Carolina,Burlington,2387 Corporation Pkwy,0,0
7-Apr-18,North Carolina,Charlotte,5200 block of Equipment Drive,0,0
7-Apr-18,North Carolina,Raleigh,4200 block of Brintons Cottage Rd,1,2
6-Apr-18,North Carolina,Winston Salem (Winston-salem),4254 Ebert Rd,0,0
6-Apr-18,North Carolina,Fayetteville,Dudley Road and Twisted Oaks Drive,1,0
6-Apr-18,North Carolina,Charlotte,4200 block of South Blvd,1,0
5-Apr-18,North Carolina,Monroe,N/A,0,1
5-Apr-18,North Carolina,Charlotte,Brownestone View Drive,0,0
5-Apr-18,North Carolina,Swansboro (Cedar Point),N/A,1,0
5-Apr-18,North Carolina,Lenoir,900 block of Norwood St,0,0
5-Apr-18,North Carolina,Hendersonville,100 block of Plantation Dr,0,0
4-Apr-18,North Carolina,Raeford,700 block of Forrest St,0,1
4-Apr-18,North Carolina,Winston Salem (Winston-salem),3112 Indiana Ave,0,1
4-Apr-18,North Carolina,Fair Bluff,100 block of Scott St,1,0
4-Apr-18,North Carolina,Rockfish,Muscat Rd and Brisson Rd,0,1
4-Apr-18,North Carolina,Greenville,N Washington St,0,1
4-Apr-18,North Carolina,Greensboro,2701 N Ohenry Blvd,0,0
3-Apr-18,North Carolina,Greenville,3305 E 10th St,0,1
3-Apr-18,North Carolina,Durham,1000 block of Moreland Ave,1,0
3-Apr-18,North Carolina,Charlotte,6309 Montego Dr,1,0
2-Apr-18,North Carolina,Rocky Mount,1821 N Wesleyan Blvd,0,1
2-Apr-18,North Carolina,Gaston,816 E Franklin Blvd,0,1
2-Apr-18,North Carolina,Kinston,Fox Run Dr,0,1
2-Apr-18,North Carolina,Randleman,10109 US-220 BUS,2,0
2-Apr-18,North Carolina,Red Springs,Old Wire Rd,0,0
2-Apr-18,North Carolina,Princeton,Elm St and 2nd St,1,0
1-Apr-18,North Carolina,Winterville,757 Fox Chase Ln,1,0
1-Apr-18,North Carolina,Eden,400 block of Glovenia St,1,0
1-Apr-18,North Carolina,Charlotte,3018 The Plaza,0,1
1-Apr-18,North Carolina,Zebulon,841 E Gannon Ave,0,1
31-Mar-18,North Carolina,Kings Mountain,US 74,0,4
31-Mar-18,North Carolina,Charlotte,900 E Arrowood Rd,0,1
30-Mar-18,North Carolina,Maxton,10700 Patterson Rd,1,1
30-Mar-18,North Carolina,Albemarle,1100 block of Gibson Street,0,1
30-Mar-18,North Carolina,Roanoke Rapids,800 Hamilton St,0,0
30-Mar-18,North Carolina,Marion,500 N Main St,0,1
30-Mar-18,North Carolina,Weldon,County Rd,0,0
30-Mar-18,North Carolina,Eden,600 block of Flynn St,0,0
30-Mar-18,North Carolina,Eden,200 block of Short Morgan St,0,0
30-Mar-18,North Carolina,Winston Salem (Winston-salem),2200 block of Bowen Blvd,1,0
29-Mar-18,North Carolina,Reidsville,Ware St and Bessemer St,0,1
29-Mar-18,North Carolina,Lynn,100 block of Flat Rock Hill Rd,0,0
29-Mar-18,North Carolina,Red Springs,1101 W Third Ave,0,1
29-Mar-18,North Carolina,Charlotte,8152 S Tryon Street,1,0
29-Mar-18,North Carolina,Greenville,400 block of Blount Street,0,1
28-Mar-18,North Carolina,Columbia,2063 Levels Rd,0,1
28-Mar-18,North Carolina,Charlotte,11500 block of Chapeclane Rd,0,0
28-Mar-18,North Carolina,Fayetteville,200 block of Snow Hill Rd,0,0
28-Mar-18,North Carolina,Durham,5450 New Hope Commons Dr,0,2
28-Mar-18,North Carolina,Nebo,N/A,0,0
28-Mar-18,North Carolina,Eden,501 Morgan Rd,0,1
27-Mar-18,North Carolina,Sanford,414 Goldsboro Ave,1,1
27-Mar-18,North Carolina,Charlotte,1700 Block of Eastcrest Dr,0,1
27-Mar-18,North Carolina,Greensboro,Battleground Ave,0,1
27-Mar-18,North Carolina,Charlotte,1300 W Sugar Creek Rd,0,0
26-Mar-18,North Carolina,Salisbury,1000 block of Rowan Cir,0,1
26-Mar-18,North Carolina,Elizabeth City,US 17 Bypass,1,0
26-Mar-18,North Carolina,Mooresboro,500 block of Cliffside St,1,0
26-Mar-18,North Carolina,Shelby,1200 block of S Lafayette St,0,1
26-Mar-18,North Carolina,Grifton,Sunny Ln,0,1
26-Mar-18,North Carolina,Hickory,2404 1st Ave SW,0,0
26-Mar-18,North Carolina,Salisbury,Dulin Ave,1,0
26-Mar-18,North Carolina,Franklin,Jack Cabe Rd,2,0
